animeID,name,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
32836,0,0,13,FALSE,1193,3180,16587,356,5817,7.67
32842,0,0,27,FALSE,12519,12412,186,2,18,5
32844,0,0,1,FALSE,9180,12816,161,0,84,5.39
32845,0,0,1,FALSE,9177,13094,147,0,74,5.39
32847,0,0,1,FALSE,9693,13526,127,0,57,5.06
32850,0,0,1,FALSE,9233,13334,136,0,63,5.36
32851,0,0,1,FALSE,9966,13309,137,0,66,4.78
32852,0,0,1,FALSE,10039,13006,152,0,77,4.67
32853,0,0,1,FALSE,8531,10493,435,0,260,5.68
32854,0,0,1,FALSE,9378,10849,366,0,217,5.27
32855,0,0,1,FALSE,9388,12279,193,1,91,5.27
32856,0,0,1,FALSE,9051,12246,196,0,112,5.45
32857,0,0,1,FALSE,12227,14394,84,0,39,4.33
32858,0,0,1,FALSE,9011,12914,156,0,88,5.46
32859,0,0,1,FALSE,9059,12808,162,0,85,5.44
32860,0,0,2,FALSE,13529,14268,90,0,37,3.97
32861,0,0,1,FALSE,8981,12499,181,0,97,5.48
32862,0,0,1,FALSE,12261,14112,97,0,43,2.91
32863,0,0,8,FALSE,733,2520,25799,93,6644,7.88
32866,0,0,12,FALSE,4080,2020,37664,101,11656,6.88
32867,0,0,12,FALSE,247,344,240460,2510,126026,8.3
32868,0,0,1,FALSE,9772,12703,168,1,82,4.99
32869,0,0,1,FALSE,1093,3248,15978,27,5701,7.71
32870,0,0,1,FALSE,1044,3524,13437,21,4189,7.73
32871,0,0,1,FALSE,842,3448,14165,24,4202,7.83
32875,0,0,4,FALSE,9001,11183,312,0,166,5.47
32876,0,0,0,FALSE,12194,10784,375,0,23,4.7
32878,0,0,12,FALSE,6758,2095,35517,46,11378,6.27
32879,0,0,1,FALSE,7545,6000,3615,1,1452,6.06
32881,0,0,38,FALSE,3419,3322,15227,46,3906,7.07
32884,0,0,1,FALSE,12958,13675,119,0,19,5.32
32885,0,0,1,FALSE,11923,13862,109,0,15,4.4
32886,0,0,5,FALSE,8922,7324,2042,0,477,5.5
32887,0,0,12,FALSE,3240,512,179475,385,71443,7.11
32888,0,0,1,FALSE,6218,9166,843,0,158,6.4
32889,0,0,1,FALSE,13380,13048,151,0,40,4.73
32890,0,0,1,FALSE,13381,13125,147,0,23,6.09
32892,0,0,47,FALSE,11230,12176,200,0,25,5.48
32894,0,0,1,FALSE,10306,7959,1523,1,1034,2.66
32897,0,0,2,FALSE,12817,13241,140,0,27,5.59
32898,0,0,1,FALSE,8359,8889,978,0,287,5.76
32899,0,0,12,FALSE,2213,562,165435,1051,73306,7.37
32900,0,0,1,FALSE,1404,1190,78764,321,28690,7.59
32901,0,0,12,FALSE,4281,258,304202,1836,165873,6.83
32902,0,0,3,FALSE,300,556,167039,583,71215,8.23
32904,0,0,6,FALSE,12336,14244,91,0,13,4.77
32906,0,0,13,FALSE,10145,4962,5827,4,2296,4.43
32907,0,0,1,FALSE,13137,14465,80,0,19,5.11
32915,0,0,1,FALSE,1129,2364,28922,41,11433,7.69
32916,0,0,5,FALSE,13597,13866,109,0,15,4.2
32920,0,0,1,FALSE,13624,13679,119,0,15,6.27
32924,0,0,12,FALSE,2927,1160,80549,326,23493,7.19
32926,0,0,1,FALSE,10832,11494,265,0,41,4.44
32927,0,0,1,FALSE,7990,8920,964,1,231,5.9
32928,0,0,1,FALSE,8475,14092,99,0,50,5.71
32930,0,0,3,FALSE,1767,1853,43676,151,19988,7.47
32932,0,0,3,FALSE,6958,8417,1242,2,389,6.22
32933,0,0,1,FALSE,9653,12524,178,0,67,5.09
32934,0,0,1,FALSE,9336,8411,1247,1,635,5.3
32935,0,0,10,FALSE,16,255,306266,5244,191364,8.97
32936,0,0,12,FALSE,6471,1401,65238,101,23191,6.34
32937,0,0,10,FALSE,193,93,515731,5924,317496,8.37
32943,0,0,1,FALSE,7982,11325,288,0,67,5.9
32944,0,0,39,FALSE,10705,10395,454,2,28,5.5
32946,0,0,1,FALSE,5016,6767,2628,3,1086,6.67
32947,0,0,11,FALSE,8296,1991,38625,39,13792,5.78
32948,0,0,11,FALSE,1148,1441,62444,233,22393,7.68
32949,0,0,12,FALSE,1582,284,286193,3301,129153,7.53
32950,0,0,1,FALSE,8800,5114,5393,1,1518,5.57
32951,0,0,12,FALSE,2246,281,288769,1816,155390,7.36
32953,0,0,1,FALSE,1459,5233,5070,19,2666,7.57
32954,0,0,9,FALSE,7724,3786,11146,7,4378,6
32956,0,0,0,TRUE,10461,11404,275,0,41,4.2
32959,0,0,2,FALSE,6778,6887,2478,6,1150,6.27
32961,0,0,13,FALSE,7663,2708,22756,26,4838,6.02
32962,0,0,12,FALSE,3525,685,140065,392,45499,7.04
32977,0,0,100,FALSE,1124,2327,29802,165,8112,7.69
32979,0,0,13,FALSE,987,823,118284,1539,44441,7.75
32981,0,0,12,FALSE,8598,1317,70068,183,19465,5.66
32983,0,0,11,FALSE,67,1035,91856,512,36328,8.63
32989,0,0,1,FALSE,6427,10017,549,1,52,6.35
32993,0,0,1,FALSE,5883,6450,3011,2,1447,6.48
32995,0,0,12,FALSE,399,232,321713,12182,186073,8.14
32998,0,0,12,FALSE,732,275,290569,2926,130210,7.88
32999,0,0,12,FALSE,9930,10822,369,0,59,4.82
33002,0,0,26,FALSE,12577,12336,190,0,18,4.28
33003,0,0,12,FALSE,3292,980,98990,491,40597,7.1
33004,0,0,35,FALSE,2489,2997,18744,24,7756,7.3
33010,0,0,1,FALSE,5103,1216,76898,147,11622,6.65
33011,0,0,12,FALSE,7699,4700,6666,13,2673,6.01
33012,0,0,12,FALSE,5709,1330,69653,216,21676,6.52
33013,0,0,2,FALSE,1082,3374,14800,54,3713,7.72
33018,0,0,13,FALSE,4429,1207,77564,330,17006,6.8
33019,0,0,12,FALSE,3527,2436,27330,60,10077,7.04
33021,0,0,12,FALSE,10166,4067,9502,11,3561,4.38
33023,0,0,12,FALSE,4071,1592,53547,395,10992,6.89
33024,0,0,1,FALSE,5869,5696,4120,1,1751,6.48
33025,0,0,1,FALSE,2733,5642,4214,2,1245,7.23
33026,0,0,24,FALSE,8094,6021,3585,4,635,5.87
33027,0,0,12,FALSE,5398,4767,6411,4,1295,6.59
33028,0,0,11,FALSE,1064,687,139542,2071,70081,7.72
33031,0,0,12,FALSE,3098,2366,28907,105,12222,7.15
33032,0,0,1,FALSE,875,2838,20810,19,10417,7.81
33033,0,0,2,FALSE,2679,5219,5097,13,1536,7.25
33034,0,0,1,FALSE,1431,3533,13343,24,5035,7.58
33035,0,0,1,FALSE,2135,4434,7712,10,3151,7.39
33036,0,0,1,FALSE,2838,1874,43022,119,16715,7.21
33037,0,0,13,FALSE,3537,3137,17043,164,4610,7.04
33038,0,0,30,FALSE,6172,5563,4346,8,339,6.41
33041,0,0,12,FALSE,3833,2910,19800,19,7985,6.95
33042,0,0,1,FALSE,10106,9987,558,0,271,4.57
33044,0,0,0,TRUE,10446,10416,450,1,42,4.45
33045,0,0,12,FALSE,3978,4127,9164,63,2743,6.91
33046,0,0,12,FALSE,4602,2390,28291,176,9156,6.76
33047,0,0,10,FALSE,6021,998,95626,289,30152,6.44
33048,0,0,1,FALSE,7146,6956,2402,1,119,6.18
33049,0,0,1,FALSE,43,1615,52848,215,1006,8.71
33051,0,0,25,FALSE,276,1428,63798,804,32366,8.27
33056,0,0,3,FALSE,6104,6133,3418,22,1037,6.42
33059,0,0,1,FALSE,11169,14309,88,0,21,4.05
33060,0,0,1,FALSE,12339,14455,81,0,15,5.07
33062,0,0,1,FALSE,10855,14306,88,0,18,4.22
33064,0,0,26,TRUE,577,3764,11318,32,1342,8
33069,0,0,1,FALSE,5199,3658,12188,7,4908,6.63
33071,0,0,1,FALSE,921,1867,43198,78,16085,7.78
33074,0,0,2,FALSE,2513,5891,3806,2,1884,7.29
33075,0,0,1,FALSE,4304,2308,30176,35,14157,6.83
33077,0,0,1,FALSE,13304,14172,95,0,8,6.88
33078,0,0,1,FALSE,12793,14493,79,0,7,6.14
33079,0,0,9,FALSE,12069,14002,103,0,11,5.36
33080,0,0,5,FALSE,3313,1622,52323,133,28599,7.09
33082,0,0,1,FALSE,1365,2065,36595,123,21947,7.6
33083,0,0,26,FALSE,13532,14406,84,0,11,5.64
33084,0,0,26,FALSE,13533,14547,76,0,10,5.1
